Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC
6,95,1221,A,0,0,8,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0
7,95,1221,A,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1222,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1223,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,1224,A,0,0,28,18,25,15,0,0,0,0,0,0,0,0,0,0,0,0
1,24,1224,A,0,0,8,4,8,4,0,0,0,0,0,100,0,0,0,0,0,0
2,25,1224,A,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
3,27,1224,A,0,0,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
4,39,1224,A,0,0,39,11,38,11,0,170,0,0,0,0,0,0,0,0,990,0
5,39,1224,A,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,990,0
6,40,1224,A,0,0,9,1,8,0,0,0,0,0,0,0,0,0,0,0,990,0
7,45,1224,A,0,0,32,4,31,3,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1225,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,1226,A,0,0,15,15,10,10,0,0,0,0,0,0,0,0,0,0,1980,0
0,60,1227,A,0,0,52,19,46,16,0,120,0,0,20,0,0,0,0,0,0,0
1,70,1227,A,0,0,22,10,19,8,0,0,0,0,0,0,0,0,0,0,0,0
2,76,1227,A,0,0,42,6,36,4,0,0,0,0,0,0,0,0,0,0,0,0
3,76,1227,A,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,76,1227,A,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,76,1227,A,0,0,5,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0
6,76,1227,A,0,0,9,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0
7,77,1227,A,0,0,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1228,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21,1229,A,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,22,1229,A,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0
2,22,1229,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,22,1229,A,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,24,1229,A,0,0,5,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0
7,26,1229,A,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1230,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1230,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,1231,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18,1231,A,0,0,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
5,21,1231,A,0,0,8,3,6,2,0,0,0,0,0,100,0,0,0,0,0,0
7,23,1231,A,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,25,1232,A,0,0,9,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0
1,25,1232,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26,1232,A,0,0,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
3,31,1232,A,0,0,31,5,27,4,0,0,0,0,0,0,0,0,0,0,0,0
4,32,1232,A,0,0,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
5,32,1232,A,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,1232,A,0,0,21,5,21,5,0,430,0,0,0,0,0,0,0,0,0,0
7,37,1232,A,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,1233,A,0,0,35,6,32,4,0,260,0,0,0,0,0,0,0,0,0,0
1,46,1233,A,0,0,28,6,23,6,0,0,0,0,0,0,0,0,0,0,0,0
2,47,1233,A,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,49,1233,A,0,0,14,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0
5,49,1233,A,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,49,1233,A,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,1234,A,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,1234,A,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,1235,A,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,990,0
1,35,1235,A,0,0,36,1,35,1,0,140,0,0,0,0,0,0,0,0,0,0
2,40,1235,A,0,0,46,5,42,5,0,0,0,0,0,0,0,0,0,0,0,0
3,43,1235,A,0,0,11,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0
4,43,1235,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
5,45,1235,A,0,0,29,2,28,2,0,0,0,0,0,0,0,0,0,0,0,0
6,45,1235,A,0,0,20,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
7,45,1235,A,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71,1236,A,0,0,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1,76,1236,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,77,1236,A,0,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3,82,1236,A,0,0,31,5,28,3,0,0,0,0,0,0,0,0,0,0,0,0
4,83,1236,A,0,0,11,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
5,84,1236,A,0,0,15,5,14,5,0,0,0,0,0,0,0,0,0,0,0,0
